EMC Raw Data
Generated Date,2025-07-24 11:32:34
Start Frequency (Hz),30000000.0
Stop Frequency (Hz),1000000000.0
Points,2001

Frequency (Hz),Amplitude (dBuV)
30000000.0,97.6863172
30485000.0,97.0746228
30970000.0,97.4635694
31455000.0,102.6955793
31940000.0,100.7216565
32425000.0,108.7233655
32910000.0,99.3280332
33395000.0,101.0552213
33880000.0,103.6578595
34365000.0,105.2839658
34850000.0,103.2037503
35335000.0,106.057388
35820000.0,110.6675565
36305000.0,102.155174
36790000.0,109.2369535
37275000.0,105.7962262
37760000.0,98.4079435
38245000.0,105.3672101
38730000.0,94.8146817
39215000.0,98.181976
39700000.0,108.0921399
40185000.0,105.5533979
40670000.0,101.573097
41155000.0,100.3832776
41640000.0,102.9018705
42125000.0,94.7764356
42610000.0,101.0153348
43095000.0,99.9757611
43580000.0,110.9897077
44065000.0,105.4634549
44550000.0,102.9961316
45035000.0,84.7555539
45520000.0,101.7595288
46005000.0,106.9533307
46490000.0,103.9096372
46975000.0,99.9333112
47460000.0,107.5506971
47945000.0,100.0810468
48430000.0,91.7367551
48915000.0,100.7424085
49400000.0,101.55884520000001
49885000.0,91.5053937
50370000.0,107.1218183
50855000.0,103.5800244
51340000.0,105.6079862
51825000.0,105.7297742
52310000.0,109.0825421
52795000.0,94.7168958
53280000.0,98.7412793
53765000.0,99.7463376
54250000.0,104.8066632
54735000.0,102.9045255
55220000.0,110.1072309
55705000.0,96.308273
56190000.0,93.9014127
56675000.0,98.8777616
57160000.0,102.7957914
57645000.0,103.3500363
58130000.0,102.9870755
58615000.0,95.0443418
59100000.0,95.5230481
59585000.0,102.1138303
60070000.0,106.1965787
60555000.0,104.2881467
61040000.0,90.0927808
61525000.0,102.6831739
62010000.0,110.3378904
62495000.0,98.8169934
62980000.0,105.6047589
63465000.0,103.0324399
63950000.0,95.1571118
64435000.0,106.4325864
64920000.0,94.742439
65405000.0,105.8342511
65890000.0,101.1353986
66375000.0,94.8186185
66860000.0,97.6704709
67345000.0,97.0293729
67830000.0,108.6488721
68315000.0,96.349426
68800000.0,101.9661252
69285000.0,96.4237516
69770000.0,102.1796949
70255000.0,101.5926664
70740000.0,109.8394925
71225000.0,105.0211408
71710000.0,88.1659009
72195000.0,106.3293988
72680000.0,103.4010312
73165000.0,102.7120359
73650000.0,89.2274854
74135000.0,106.6130597
74620000.0,99.101196
75105000.0,91.633125
75590000.0,106.7529676
76075000.0,100.5989606
76560000.0,96.70120969999999
77045000.0,104.631622
77530000.0,108.1744458
78015000.0,98.8693158
78500000.0,109.5832059
78985000.0,110.4572751
79470000.0,100.2641599
79955000.0,105.5876462
80440000.0,95.2389524
80925000.0,105.5553128
81410000.0,108.4078061
81895000.0,109.5146558
82380000.0,93.8647458
82865000.0,105.4908216
83350000.0,89.1375653
83835000.0,99.1752317
84320000.0,103.1686856
84805000.0,100.9120175
85290000.0,100.54701969999999
85775000.0,105.3573987
86260000.0,105.5855558
86745000.0,103.4530713
87230000.0,102.1288373
87715000.0,100.9029309
88200000.0,102.2305829
88685000.0,108.1865384
89170000.0,109.8782956
89655000.0,106.2255017
90140000.0,97.73397800000001
90625000.0,103.2818219
91110000.0,93.9800031
91595000.0,85.6266782
92080000.0,101.0129621
92565000.0,93.396919
93050000.0,102.0533673
93535000.0,96.4803617
94020000.0,100.2864911
94505000.0,90.5020291
94990000.0,105.4753415
95475000.0,105.7207181
95960000.0,109.1463239
96445000.0,105.1143033
96930000.0,100.4892041
97415000.0,105.5249402
97900000.0,101.1801374
98385000.0,107.3155362
98870000.0,102.9538343
99355000.0,89.9435727
99840000.0,95.0134198
100325000.0,102.9441526
100810000.0,107.4741513
101295000.0,103.9812009
101780000.0,98.6416471
102265000.0,93.9568174
102750000.0,102.1046979
103235000.0,102.2453458
103720000.0,102.13494850000001
104205000.0,100.7574308
104690000.0,104.2738797
105175000.0,100.9196698
105660000.0,96.88793150000001
106145000.0,104.4633329
106630000.0,107.6333387
107115000.0,98.9801328
107600000.0,103.3573987
108085000.0,108.6816709
108570000.0,97.8759839
109055000.0,109.09465
109540000.0,106.6788251
110025000.0,105.0841672
110510000.0,101.3028409
110995000.0,107.0049894
111480000.0,108.6734616
111965000.0,109.1336591
112450000.0,107.73336
112935000.0,102.7525479
113420000.0,95.9950406
113905000.0,101.089401
114390000.0,101.7904203
114875000.0,106.6730878
115360000.0,107.518913
115845000.0,105.8147123
116330000.0,96.9291303
116815000.0,106.5473554
117300000.0,99.9108655
117785000.0,107.116287
118270000.0,103.1651151
118755000.0,103.9113233
119240000.0,110.6549756
119725000.0,103.2743451
120210000.0,106.0441053
120695000.0,105.8640592
121180000.0,111.7817533
121665000.0,89.31661199999999
122150000.0,105.9337155
122635000.0,107.5988004
123120000.0,107.2354734
123605000.0,106.5812146
124090000.0,97.7449948
124575000.0,101.9848477
125060000.0,95.3357312
125545000.0,103.3940274
126030000.0,109.9191815
126515000.0,86.2295911
127000000.0,99.7891385
127485000.0,104.2694623
127970000.0,108.7588803
128455000.0,111.7267377
128940000.0,106.5007245
129425000.0,99.7665937
129910000.0,101.412132
130395000.0,94.1547696
130880000.0,100.6763379
131365000.0,102.3833081
131850000.0,108.0002515
132335000.0,97.9052579
132820000.0,94.7387845
133305000.0,102.6328046
133790000.0,102.6679532
134275000.0,105.231796
134760000.0,89.9706037
135245000.0,101.1203153
135730000.0,107.1303479
136215000.0,95.3138806
136700000.0,102.6277692
137185000.0,104.6229398
137670000.0,101.8283765
138155000.0,100.1861264
138640000.0,101.6319272
139125000.0,104.2401425
139610000.0,104.1726911
140095000.0,111.5360715
140580000.0,95.5313184
141065000.0,93.0032041
